Date,Sentiment_Score,Prob_Pos,Prob_Neg,News_Volume
"April 21, 2005, Thursday",-0.0027526116,0.35602832,0.35878092,7
"April 21, 2006, Friday",0.49906296,0.5230448,0.02398183,10
"April 21, 2007, Saturday",0.5291037,0.56458,0.035476312,6
"April 21, 2008, Monday",-0.4339146,0.047492433,0.48140705,4
"April 21, 2009, Tuesday",-0.11736768,0.2817256,0.39909327,30
"April 21, 2010, Wednesday",0.4591126,0.56205404,0.102941394,14
"April 21, 2011, Thursday",0.3214667,0.40569773,0.08423102,11
"April 21, 2012, Saturday",-0.22274165,0.18839976,0.4111414,5
"April 21, 2013, Sunday",-0.09097922,0.22169723,0.31267646,3
"April 21, 2014, Monday",-0.16841328,0.2076987,0.37611198,7
"April 21, 2015, Tuesday",0.16569106,0.30768684,0.14199577,12
"April 21, 2016, Thursday",-0.40305352,0.05095845,0.45401198,7
"April 21, 2017, Friday",0.15210962,0.23975675,0.08764712,5
"April 21, 2018, Saturday",0.017562628,0.35761896,0.3400564,3
"April 21, 2019, Sunday",0.30619755,0.3243391,0.01814154,3
"April 21, 2020, Tuesday",-0.029700803,0.29292557,0.32262635,7
"April 22, 2003, Tuesday",0.040536784,0.19530049,0.15476371,10
"April 22, 2004, Thursday",-0.035515063,0.30634698,0.34186202,10
"April 22, 2005, Friday",-0.30638862,0.17422093,0.48060957,7
"April 22, 2006, Saturday",0.24855871,0.44716662,0.19860789,4
"April 22, 2007, Sunday",0.20082413,0.21446247,0.013638343,1
"April 22, 2008, Tuesday",0.10132116,0.38414383,0.28282267,10
"April 22, 2009, Wednesday",0.19030668,0.38763422,0.19732754,14
"April 22, 2010, Thursday",0.37807527,0.4947307,0.1166554,12
"April 22, 2011, Friday",0.12807718,0.15462561,0.026548428,7
"April 22, 2012, Sunday",0.92544055,0.9403658,0.014925253,2
"April 22, 2013, Monday",-0.35088855,0.12045719,0.47134572,2
"April 22, 2014, Tuesday",-0.108595826,0.20535497,0.3139508,12
"April 22, 2015, Wednesday",0.6749055,0.686871,0.01196553,5
"April 22, 2016, Friday",0.33866796,0.49417663,0.15550865,7
"April 22, 2017, Saturday",0.13600725,0.31209698,0.17608976,6
"April 22, 2018, Sunday",-0.08549805,0.29732838,0.38282642,4
"April 22, 2019, Monday",-0.3342623,0.31160772,0.64587003,1
"April 22, 2020, Wednesday",-0.916504,0.01289252,0.92939657,1
"April 23, 2003, Wednesday",-0.0792913,0.06784323,0.14713453,8
"April 23, 2004, Friday",0.020589508,0.26256073,0.2419712,4
"April 23, 2005, Saturday",-0.31401122,0.15684624,0.47085747,4
"April 23, 2007, Monday",0.62770045,0.6998261,0.07212564,13
"April 23, 2008, Wednesday",-0.22996773,0.22933036,0.4592981,11
"April 23, 2009, Thursday",0.07059919,0.43400925,0.36341006,20
"April 23, 2010, Friday",0.38657996,0.4909991,0.10441914,22
"April 23, 2011, Saturday",0.41384083,0.62220186,0.20836107,8
"April 23, 2012, Monday",-0.18609142,0.20597637,0.3920678,6
"April 23, 2013, Tuesday",0.12301363,0.30140376,0.17839013,13
"April 23, 2014, Wednesday",0.15483402,0.3229311,0.16809712,11
"April 23, 2015, Thursday",0.12449998,0.37906733,0.25456733,4
"April 23, 2016, Saturday",0.28955755,0.3205778,0.031020276,8
"April 23, 2017, Sunday",0.15221363,0.16566418,0.013450552,2
"April 23, 2018, Monday",-0.8664427,0.04369393,0.9101366,1
"April 23, 2019, Tuesday",0.04028631,0.08623428,0.045947973,4
"April 23, 2020, Thursday",-0.23265612,0.11735127,0.3500074,12
